년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2013","충 남","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","2353","8814","207400","1961","9370","183751","392","6033",23649
"2013","전 북","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","2081","9154","190489","1989","9318","185331","92","5607",5158
"2013","전 남","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","8233","8282","681817","7969","8368","666838","264","5674",14979
"2013","경 북","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","3918","6660","260926","3440","6900","237356","478","4931",23570
"2013","경 남","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","1491","8828","131624","1405","9029","126852","86","5549",4772
"2013","제 주","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","473","9295","43964","473","9295","43964","0","0",0
"2013","(세 종)","엽 채 류","배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)","33","8807","2906","33","8807","2906","0","0",0
"2013","전 국","엽 채 류","기타배추(봄배추+기타배추)","7708","4978","383696","4931","5138","253363","2777","4693",130333
"2013","서 울","엽 채 류","기타배추(봄배추+기타배추)","2","3850","77","0","0","0","2","3850",77
"2013","부 산","엽 채 류","기타배추(봄배추+기타배추)","144","5244","7551","25","9862","2466","119","4273",5085
"2013","대 구","엽 채 류","기타배추(봄배추+기타배추)","69","4028","2779","5","4140","207","64","4019",2572
"2013","인 천","엽 채 류","기타배추(봄배추+기타배추)","26","4792","1246","4","3166","127","22","5086",1119
"2013","광 주","엽 채 류","기타배추(봄배추+기타배추)","106","4154","4403","14","4086","572","92","4164",3831
"2013","대 전","엽 채 류","기타배추(봄배추+기타배추)","1","3100","31","1","3084","31","0","0",0
"2013","울 산","엽 채 류","기타배추(봄배추+기타배추)","17","3941","670","4","2439","98","13","4400",572
"2013","경 기","엽 채 류","기타배추(봄배추+기타배추)","1271","3917","49785","197","4342","8554","1074","3839",41231
"2013","강 원","엽 채 류","기타배추(봄배추+기타배추)","599","4270","25577","562","4291","24115","37","3951",1462
"2013","경 기","양 채 류","파 세 리","23","2135","491","0","0","0","23","2135",491
"2013","강 원","양 채 류","파 세 리","20","1177","237","15","1045","155","5","1545",82
