대분류,합계,,재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha)
,,,0.1ha미만,,0.1~0.2,,0.2~0.3,,0.3~0.5,,0.5~0.7,,0.7~1.0,,1.0~1.5,,1.5~2.0,,2.0~2.5,,2.5~3.0,,3.0~5.0,,5.0~7.0,,7.0~10.0,,10.0ha 이상,
,경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha)
초화류,13957,1412.505028,10055,328.189811,2241,309.358978,754,183.341809,543,202.70996,180,105.23279,96,79.39564,52,61.61019,16,28.67526,6,13.3533,5,13.5115,2,6.4605,2,11.0364,3,23.81014,2,45.81875
난류,628,93.508414,387,13.631299,100,14.782455,48,11.61887,53,20.590125,20,11.89893,10,8.29351,8,9.381375,2,3.31185,0,0,0,0,0,0,0,0,0,0,0,0
선인장/다육식물류,2307,299.043645,1358,50.707315,475,65.78627,249,60.37747,137,52.09697,40,23.02843,30,24.64925,16,18.46604,1,1.5738,1,2.3581,0,0,0,0,0,0,0,0,0,0
숙근류,9637,4955.001414,1991,92.500444,2129,310.167189,1436,358.77391,1554,597.467317,747,438.583221,613,512.28908,539,654.156005,224,384.08206,126,280.66218,81,221.760347,137,509.588782,30,174.14237,16,127.774034,14,293.054475
구근류,644,152.22938,268,11.096995,134,18.85668,94,23.0768,72,27.161805,36,21.17128,19,15.98465,14,16.77017,1,1.57,3,6.968,0,0,3,9.573,0,0,0,0,0,0
관엽식물류,4037,832.273595,1553,71.036546,1024,148.476698,611,149.803295,536,201.662846,156,91.01778,94,76.71261,43,50.24407,12,20.61586,3,6.8876,4,11.44359,1,4.3727,0,0,0,0,0,0
화훼종자류,229,31.341173,127,4.795173,47,6.38869,27,6.70662,16,5.65943,9,4.99995,2,1.60361,1,1.1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타화훼,6652,1445.422144,2854,119.499737,1555,219.216143,875,215.942693,765,290.230625,265,153.912822,174,142.981326,89,105.611195,34,59.0796,12,26.48933,10,27.524323,16,56.33199,1,6.1611,1,7.6559,1,14.78536
산림종묘,11874,1741.170691,6998,275.065463,2575,355.456717,996,241.014408,724,269.956703,251,147.25721,162,132.48323,87,104.00143,30,49.33044,20,43.09561,6,16.61028,19,70.0888,5,28.8517,1,7.9587,0,0
수목류,5542,809.40924,3299,127.389598,1182,164.07263,455,108.831832,346,129.86625,114,65.81287,74,61.41379,39,47.14997,11,18.87952,9,19.72658,2,5.1548,5,19.4477,3,17.3601,3,24.3036,0,0
관상수류,88344,20891.01426,38121,1646.741329,22553,3184.63483,10526,2552.898372,8767,3347.961323,3280,1927.189721,2067,1715.86225,1439,1731.162624,581,998.356597,329,736.843905,192,526.57222,337,1268.603423,76,440.424285,45,373.92839,31,439.83499
조경수,10002,2323.209115,3952,179.554714,2676,376.314415,1289,312.552992,1085,413.731229,425,248.779425,274,227.4513,151,180.38388,62,106.70559,31,68.58398,22,59.49533,27,97.64536,5,27.4903,3,24.5206,0,0
조경재,65,9.82634,31,1.4582,16,2.3729,10,2.2744,4,1.2794,3,1.7163,1,0.72514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조사료,72620,93355.23289,4069,242.841628,10763,1614.179413,9652,2402.146573,12848,4959.580501,6809,4022.650207,6692,5610.737815,6374,7800.783742,3930,6808.359026,2549,5693.437357,1826,5011.72672,3819,14609.13341,1434,8400.239287,879,7251.401434,976,18928.01578
사료_목초종자,25,7.73418,6,0.2747,9,1.307,1,0.241,6,2.2888,1,0.55698,0,0,1,1.3056,1,1.7601,0,0,0,0,0,0,0,0,0,0,0,0
총계,4616447,1523693.061,2125738,85704.30445,915107,129438.2504,461198,112940.8438,447154,171381.3858,202752,119468.7828,160684,133927.339,125180,151880.1067,59719,102940.5691,33193,73881.32807,20778,56830.11201,37686,143267.2667,13520,79043.34863,7772,64053.72316,5966,98935.70025
